################ NH3 FUV Absorption Cross Section  ####################
Source Liang et al. (2007), interpolated to 0.01 nm
 
 COLUMN 1:      vacuum wavelength (nm) 
 COLUMN 2:      cross section (cm^2/molecule)   @300
 
DATE OF FILE CREATION: 11.09.2018 - Henrik Melin
 
NUMBER OF LINES: 8601
      148.170  7.86540e-19
      148.180  1.00695e-18
      148.190  9.92309e-19
      148.200  9.77690e-19
      148.210  9.79686e-19
      148.220  9.81680e-19
      148.230  8.87097e-19
      148.240  7.92370e-19
      148.250  8.70325e-19
      148.260  9.48280e-19
      148.270  8.78772e-19
      148.280  8.09370e-19
      148.290  7.12724e-19
      148.300  6.15930e-19
      148.310  6.85702e-19
      148.320  7.55580e-19
      148.330  7.24105e-19
      148.340  6.92630e-19
      148.350  8.38371e-19
      148.360  9.83890e-19
      148.370  8.79050e-19
      148.380  7.74050e-19
      148.390  7.19150e-19
      148.400  6.64250e-19
      148.410  6.61663e-19
      148.420  6.59080e-19
      148.430  7.55282e-19
      148.440  8.51630e-19
      148.450  7.42658e-19
      148.460  6.33520e-19
      148.470  6.67655e-19
      148.480  7.01790e-19
      148.490  6.57201e-19
      148.500  6.12680e-19
      148.510  6.46569e-19
      148.520  6.80510e-19
      148.530  6.25535e-19
      148.540  5.70560e-19
      148.550  5.28708e-19
      148.560  4.86920e-19
      148.570  5.51104e-19
      148.580  6.15190e-19
      148.590  4.98314e-19
      148.600  3.81260e-19
      148.610  4.49975e-19
      148.620  5.18690e-19
      148.630  4.60275e-19
      148.640  4.01950e-19
      148.650  3.87626e-19
      148.660  3.73280e-19
      148.670  3.64415e-19
      148.680  3.55550e-19
      148.690  3.53478e-19
      148.700  3.51410e-19
      148.710  3.20356e-19
      148.720  2.89350e-19
      148.730  2.70669e-19
      148.740  2.51960e-19
      148.750  1.96910e-19
      148.760  1.41860e-19
      148.770  1.81350e-19
      148.780  2.20780e-19
      148.790  2.02764e-19
      148.800  1.84720e-19
      148.810  1.76082e-19
      148.820  1.67430e-19
      148.830  2.03855e-19
      148.840  2.40280e-19
      148.850  2.72224e-19
      148.860  3.04120e-19
      148.870  2.07549e-19
      148.880  1.10830e-19
      148.890  1.54720e-19
      148.900  1.98610e-19
      148.910  2.70335e-19
      148.920  3.41950e-19
      148.930  3.10794e-19
      148.940  2.79590e-19
      148.950  3.09048e-19
      148.960  3.38550e-19
      148.970  3.45130e-19
      148.980  3.51710e-19
      148.990  3.41062e-19
      149.000  3.30430e-19
      149.010  3.26738e-19
      149.020  3.23040e-19
      149.030  2.82325e-19
      149.040  2.41610e-19
      149.050  3.48091e-19
      149.060  4.54410e-19
      149.070  4.81916e-19
      149.080  5.09380e-19
      149.090  6.21235e-19
      149.100  7.33260e-19
      149.110  8.41065e-19
      149.120  9.48870e-19
      149.130  1.12397e-18
      149.140  1.29880e-18
      149.150  1.40800e-18
      149.160  1.51736e-18
      149.170  3.15679e-18
      149.180  4.79622e-18
      149.190  5.97349e-18
      149.200  7.14896e-18
      149.210  7.08670e-18
      149.220  7.02453e-18
      149.230  7.77835e-18
      149.240  8.53332e-18
      149.250  7.75594e-18
      149.260  6.97857e-18
      149.270  6.55672e-18
      149.280  6.13551e-18
      149.290  5.55180e-18
      149.300  4.96719e-18
      149.310  5.50269e-18
      149.320  6.03901e-18
      149.330  4.56473e-18
      149.340  3.09044e-18
      149.350  4.60660e-18
      149.360  6.12044e-18
      149.370  5.32372e-18
      149.380  4.52579e-18
      149.390  4.07241e-18
      149.400  3.61903e-18
      149.410  2.71558e-18
      149.420  1.81351e-18
      149.430  2.22017e-18
      149.440  2.62746e-18
      149.450  3.47342e-18
      149.460  4.32067e-18
      149.470  3.62672e-18
      149.480  2.93276e-18
      149.490  2.92869e-18
      149.500  2.92463e-18
      149.510  2.16306e-18
      149.520  1.40033e-18
      149.530  1.54160e-18
      149.540  1.68287e-18
      149.550  1.60567e-18
      149.560  1.52859e-18
      149.570  1.26335e-18
      149.580  9.98520e-19
      149.590  8.17633e-19
      149.600  6.36470e-19
      149.610  1.25913e-18
      149.620  1.88178e-18
      149.630  1.47915e-18
      149.640  1.07714e-18
      149.650  7.57299e-19
      149.660  4.36970e-19
      149.670  7.44345e-19
      149.680  1.05172e-18
      149.690  1.26232e-18
      149.700  1.47259e-18
      149.710  9.88696e-19
      149.720  5.05540e-19
      149.730  6.82145e-19
      149.740  8.59020e-19
      149.750  6.64250e-19
      149.760  4.69480e-19
      149.770  4.82645e-19
      149.780  4.95790e-19
      149.790  3.98774e-19
      149.800  3.01610e-19
      149.810  3.59716e-19
      149.820  4.17910e-19
      149.830  4.78720e-19
